City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
492,Mao,ES,78.8,scattered clouds,39.89,4.27,ARTIEM Capri
495,Felipe Carrillo Puerto,MX,81.21,scattered clouds,19.58,-88.05,Hotel La Ceiba
496,Acarau,BR,78.1,clear sky,-2.89,-40.12,castelo pizzaria
504,Kahta,TR,77.0,clear sky,37.79,38.62,Kommagene Hotel
507,Majene,ID,82.24,clear sky,-3.54,118.97,Kost Putri RABBANI
511,Myitkyina,MM,76.82,overcast clouds,25.38,97.4,Shwe Phyu Hotel
513,Goose Creek,US,82.99,scattered clouds,32.98,-80.03,Holiday Inn Express & Suites Charleston-North
514,Porto Walter,BR,76.93,clear sky,-8.27,-72.74,Hotel Silva
516,Arrecife,ES,75.2,broken clouds,28.96,-13.55,Hotel Lancelot
521,Paducah,US,75.2,broken clouds,37.08,-88.6,Holiday Inn Paducah Riverfront
524,Weligama,LK,79.66,light rain,5.97,80.42,Weligama Bay Resort
526,Tecoanapa,MX,81.37,overcast clouds,16.52,-98.75,Hotel Manglares
529,Palwal,IN,84.99,mist,28.15,77.33,Hotel Aarya
531,Ramjibanpur,IN,80.26,clear sky,22.83,87.62,Joy Guru Bhander
535,Bac Lieu,VN,84.07,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
537,Mersing,MY,75.2,scattered clouds,2.43,103.84,Timotel Hotel
539,Seoul,KR,84.2,few clouds,37.57,126.98,LOTTE HOTEL SEOUL
543,Kone,NC,76.59,broken clouds,-21.06,164.87,Hôtel La Néa
544,Tiarei,PF,84.2,few clouds,-17.53,-149.33,Le Rocher de Tahiti
545,Bonthe,SL,76.14,light rain,7.53,-12.51,Bonthe Holiday Village
548,Nouadhibou,MR,77.0,broken clouds,20.93,-17.03,El Medina
550,Dubuque,US,80.01,clear sky,42.48,-90.87,American Inn and Suites
551,San Patricio,MX,84.2,broken clouds,19.22,-104.7,Hotel Cabo Blanco
552,Jacareacanga,BR,75.97,light rain,-6.22,-57.75,Casa do Ian😎
553,Jiexiu,CN,77.88,clear sky,37.02,111.91,IU Hotel Jinzhong Yuhua Road
558,Feijo,BR,80.35,clear sky,-8.16,-70.35,Hotel e Restaurante Aҫai
563,Collierville,US,77.0,moderate rain,35.04,-89.66,Hampton Inn Memphis/Collierville
564,Cotonou,BJ,75.61,overcast clouds,6.37,2.42,Novotel Cotonou Orisha
565,Balikpapan,ID,78.8,light rain,-1.27,116.83,Grand Jatra Hotel Balikpapan
566,Gwadar,PK,80.89,clear sky,25.12,62.33,Sadaf Resort
567,Kijang,KR,84.2,scattered clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
568,Nara,JP,90.0,few clouds,34.69,135.8,Guesthouse Nara Komachi
569,Tabas,IR,75.2,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
572,Chaozhou,CN,82.4,mist,23.67,116.64,Seven Corner View Homestay
573,Kroya,ID,79.75,scattered clouds,-7.63,109.25,RUSTANTO Fam
576,Palimbang,PH,85.21,overcast clouds,6.21,124.19,Felmar Beach resort
577,Tamisan,PH,84.9,overcast clouds,6.84,126.3,Pier One Island Hopping
578,Kamoke,PK,80.6,smoke,31.97,74.22,Ahmed Ameen pan shop
583,Shimoda,JP,86.0,few clouds,34.67,138.95,Shimoda Tokyu Hotel
584,Pathein,MM,82.18,overcast clouds,16.78,94.73,Pathein Hotel
587,Ibra,OM,81.41,broken clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
589,The Valley,AI,84.2,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
