City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Dingle,PH,86.14,overcast clouds,11.0,122.67,Camp Pasica
177,Marsh Harbour,BS,84.31,overcast clouds,26.54,-77.06,Abaco Beach Resort
178,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
179,San Policarpo,PH,80.65,light rain,12.18,125.51,Zal-Ann Beach Resort
185,Nieuw Amsterdam,SR,78.01,light rain,5.88,-55.08,Hotel Stardust
189,Hilo,US,82.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
190,Pochutla,MX,78.01,overcast clouds,15.74,-96.47,Hotel Posada San Jose
191,Hermiston,US,80.6,clear sky,45.84,-119.29,Oxford Suites Hermiston
194,Irbil,IQ,83.84,clear sky,36.19,44.01,Erbil International Hotel
199,Lazaro Cardenas,MX,78.22,moderate rain,17.96,-102.2,Collection O Hotel Quinta Antigua
201,Sungaipenuh,ID,75.78,light rain,-2.08,101.38,Hotel Jaya Wisata 2
211,Kingston,JM,86.0,broken clouds,18.0,-76.79,The Jamaica Pegasus Hotel
212,Isangel,VU,75.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
213,Monrovia,LR,75.79,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
214,Jining,CN,82.45,clear sky,35.41,116.58,Yunhe Star Hotel
218,Soe,ID,79.18,broken clouds,-9.86,124.28,Dena Hotel
221,Shingu,JP,86.0,few clouds,33.73,135.98,Shingu UI Hotel
224,Georgetown,MY,86.0,few clouds,5.41,100.34,Cititel Penang
225,Guerrero Negro,MX,76.64,light rain,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
226,Alibag,IN,80.6,shower rain,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
227,Yining,CN,86.63,clear sky,29.04,114.56,Xiushui Hotel
228,Laguna,US,84.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
231,Myitkyina,MM,80.38,overcast clouds,25.38,97.4,Shwe Phyu Hotel
233,Wucheng,CN,84.99,light rain,29.6,118.17,Xiuwu Restaurant
238,Itoman,JP,89.6,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
243,Tura,IN,78.17,light rain,25.52,90.22,Hotel RIKMAN Continental
244,Greeneville,US,75.99,overcast clouds,36.16,-82.83,General Morgan Inn and Conference Center
256,Jalu,LY,78.42,clear sky,29.03,21.55,Jalu Hotel
259,Padang,ID,83.8,overcast clouds,-0.95,100.35,Mercure Padang
260,Nishihara,JP,89.6,haze,26.18,127.76,Minshuku Agaihama
261,Abu Ghosh,IL,81.0,scattered clouds,31.81,35.11,שורש ירוק בהר - Green Hill Suites at Shoresh
265,Ontario,US,82.4,clear sky,34.06,-117.65,DoubleTree by Hilton Hotel Ontario Airport
269,Boa Vista,BR,80.6,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
