City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Dakoro,NE,14.51,6.76,78.6,68,97,10.11,overcast clouds
231,New Norfolk,AU,-42.78,147.06,57.99,61,100,1.99,overcast clouds
232,Acapulco,MX,16.86,-99.89,84.2,74,75,11.41,broken clouds
233,Kaoma,ZM,-14.78,24.8,67.59,45,76,1.32,broken clouds
234,Kruisfontein,ZA,-34.0,24.73,48.52,91,17,8.57,few clouds
235,Kamyaran,IR,34.8,46.94,64.4,44,0,3.67,clear sky
236,Harrow,GB,51.57,-0.33,55.0,87,100,18.34,overcast clouds
237,Poum,NC,-20.23,164.02,72.63,82,22,23.22,few clouds
238,Shatrovo,RU,56.52,64.63,62.1,85,97,4.72,overcast clouds
239,Narsaq,GL,60.92,-46.05,59.0,33,100,35.57,light rain
240,Geraldton,AU,-28.77,114.6,59.0,72,90,8.05,overcast clouds
241,Norman Wells,CA,65.28,-126.83,51.8,66,90,11.41,overcast clouds
242,Yabrud,SY,33.97,36.66,68.0,63,0,6.93,clear sky
243,Murgab,TM,37.5,61.97,68.0,49,0,4.7,clear sky
244,Hay River,CA,60.82,-115.8,55.4,93,75,10.29,broken clouds
245,Yumen,CN,40.28,97.2,63.12,40,100,6.49,overcast clouds
246,Bambous Virieux,MU,-20.34,57.76,71.6,78,40,8.05,scattered clouds
247,Slave Lake,CA,55.28,-114.77,68.0,52,90,10.29,overcast clouds
248,Yellowknife,CA,62.46,-114.35,55.4,66,90,10.29,overcast clouds
249,Pangoa,PE,-12.12,-73.0,72.97,66,0,3.02,clear sky
250,Cabo San Lucas,MX,22.89,-109.91,79.0,88,90,6.93,overcast clouds
251,Miri,MY,4.41,114.01,78.8,94,40,6.93,scattered clouds
252,Birin,NP,26.89,88.07,77.0,100,75,2.24,light rain
253,Puerto Escondido,MX,15.85,-97.07,73.4,64,90,6.93,light rain
254,Magistralnyy,RU,56.17,107.45,57.9,91,95,2.91,overcast clouds
255,Veraval,IN,20.9,70.37,80.82,87,100,11.65,moderate rain
256,Bisira,PA,8.52,-81.71,59.59,100,100,0.89,overcast clouds
257,Morondava,MG,-20.28,44.28,71.26,89,9,5.35,clear sky
258,Boguchany,RU,58.38,97.45,57.25,85,75,2.06,broken clouds
259,Winterberg,DE,51.2,8.53,53.01,81,0,1.01,clear sky
260,Los Llanos De Aridane,ES,28.66,-17.92,77.0,83,16,18.34,few clouds
261,Lewistown,US,40.6,-77.57,72.0,100,1,3.02,clear sky
262,Ostersund,SE,63.18,14.64,50.0,66,83,9.17,broken clouds
263,Lourdes,FR,43.1,-0.05,57.2,87,90,4.7,overcast clouds
264,Pattani,TH,6.75,100.42,80.6,94,20,6.93,few clouds
265,Roma,US,43.21,-75.46,64.4,82,1,3.36,clear sky
266,Craig,US,40.52,-107.55,84.2,18,1,9.17,clear sky
267,Baghdad,IQ,33.34,44.4,80.6,30,0,6.93,clear sky
268,Sorong,ID,-0.88,131.25,81.16,78,100,10.29,light rain
269,Verkhnetulomskiy,RU,68.61,31.8,44.6,81,82,4.47,broken clouds
270,Sitka,US,57.05,-135.33,57.2,71,75,10.29,broken clouds
271,Aberdeen,GB,57.14,-2.1,48.2,87,75,16.11,broken clouds
272,Juneau,US,58.3,-134.42,53.01,87,90,17.22,light rain
273,Necochea,AR,-38.55,-58.74,48.99,89,100,3.0,overcast clouds
274,Ust-Kuyga,RU,70.02,135.6,52.63,50,0,2.73,clear sky
275,Vila Franca Do Campo,PT,37.72,-25.43,73.4,94,20,9.17,few clouds
276,San Cristobal,VE,7.77,-72.22,67.01,85,12,1.05,few clouds
277,Mount Isa,AU,-20.73,139.5,77.0,22,0,21.92,clear sky
278,Ayan,RU,56.45,138.17,60.42,53,0,7.23,clear sky
279,Faya,SA,18.39,42.45,68.0,93,0,3.56,clear sky
280,Sao Jose De Ribamar,BR,-2.56,-44.05,78.8,83,90,10.29,overcast clouds
281,Boden,SE,65.83,21.69,50.0,93,90,1.12,overcast clouds
282,Mehran,IR,33.12,46.16,68.0,16,0,4.7,clear sky
283,Awbari,LY,26.59,12.78,81.43,28,0,9.01,clear sky
284,Fukue,JP,32.69,128.84,82.4,88,75,8.05,broken clouds
285,Flagstaff,US,35.2,-111.65,80.6,19,20,4.7,few clouds
286,Klaksvik,FO,62.23,-6.59,46.4,87,65,2.24,broken clouds
287,Samarai,PG,-10.62,150.67,78.42,87,100,15.48,overcast clouds
288,Takoradi,GH,4.88,-1.76,74.43,88,89,9.22,overcast clouds
289,Lorengau,PG,-2.02,147.27,84.02,77,100,13.6,overcast clouds
290,Woodward,US,36.43,-99.39,105.8,30,1,13.87,clear sky
291,Hun,LY,29.13,15.95,74.28,66,0,9.64,clear sky
292,Nioro,GM,13.35,-15.75,75.67,94,100,5.26,light rain
293,Suratgarh,IN,29.32,73.9,90.21,49,92,5.77,heavy intensity rain
294,Daru,PG,-9.08,143.21,78.4,86,98,18.3,light rain
295,Karratha,AU,-20.74,116.85,88.77,20,0,13.69,clear sky
296,Zhigansk,RU,66.77,123.37,58.95,52,88,8.3,overcast clouds
297,Atambua,ID,-9.11,124.89,82.24,43,61,4.52,broken clouds
298,Yinchuan,CN,38.47,106.27,70.48,45,100,13.51,light rain
299,Longyearbyen,SJ,78.22,15.64,32.0,93,90,3.36,overcast clouds
300,Mount Gambier,AU,-37.83,140.77,57.2,62,0,17.22,clear sky
301,Kuala Terengganu,MY,5.33,103.14,78.8,88,20,4.7,few clouds
302,Polunochnoye,RU,60.87,60.42,49.86,91,88,0.74,overcast clouds
303,Comonfort,MX,20.72,-100.77,75.99,61,4,0.51,clear sky
304,Bella Vista,US,36.43,-94.23,91.4,46,1,6.93,clear sky
305,Lebanon,US,36.21,-86.29,75.0,94,90,12.75,mist
306,Elizabeth City,US,36.29,-76.25,84.2,83,1,6.93,clear sky
307,Gorom-Gorom,BF,14.44,-0.24,81.23,68,26,16.13,scattered clouds
308,Kloulklubed,PW,7.04,134.26,86.0,70,75,5.82,broken clouds
309,Kjollefjord,NO,70.95,27.35,43.97,73,93,2.8,overcast clouds
310,Biak,ID,-0.91,122.88,80.71,68,19,9.98,few clouds
311,Wanning,CN,18.8,110.4,84.63,74,89,4.85,overcast clouds
312,Wuning,CN,29.26,120.23,76.57,86,100,0.2,overcast clouds
313,Ossora,RU,59.24,163.07,53.26,72,61,14.79,light rain
314,Innisfail,AU,-17.53,146.03,63.0,87,100,8.99,light rain
315,Mount Darwin,ZW,-16.77,31.58,62.73,63,0,2.19,clear sky
316,Dingle,PH,11.0,122.67,84.16,77,100,8.1,overcast clouds
317,Aksu,CN,41.12,80.26,70.39,39,73,3.83,broken clouds
318,Ostrovnoy,RU,68.05,39.51,47.97,65,98,11.45,overcast clouds
319,Cam Ranh,VN,11.92,109.16,89.6,66,65,2.24,broken clouds
320,Puksoozero,RU,62.59,40.61,49.46,96,100,12.3,overcast clouds
